0,1,2,3
2896,1720,3056,1801
4026,3658,4138,3781
2282,1324,2386,1501
1445,1562,1557,1754
1455,1201,1549,1344
5198,3171,5304,3280
1449,1410,1518,1546
3362,1805,3437,1909
3357,1557,3475,1760
2423,2734,2617,2890
2389,2734,2617,2895
2418,2467,2655,2606
3883,2275,4113,2418
5304,2695,5531,2826
5263,2695,5548,2835
5295,2524,5555,2601
1544,1802,1778,1896
1437,599,1494,652
1310,1897,1369,1957
1356,1014,1418,1072
2287,420,2381,521
752,2383,829,2427
742,2360,829,2427
1073,2267,1275,2362
2689,778,2901,869
1308,1943,1482,2018
1308,1921,1468,2018
1018,1727,1194,1808
1646,1120,1856,1224
1126,976,1323,1070
1284,1781,1420,1895
2370,400,2704,539
1217,3656,1288,3874
3782,3251,3882,3358
3773,2248,3890,2438
1449,2095,1519,2233
1449,1811,1520,1913
5298,2238,5573,2316
1218,3527,1510,3603
3886,2275,4052,2418
5301,2917,5601,2991
1547,2655,1723,2809
1544,1802,1778,1896
1550,2498,1799,2574
1551,2277,1781,2409
1777,3780,1936,3894
984,3581,1142,3794
2498,1985,2589,2266
1376,643,1424,763
930,999,1066,1119
1386,664,1570,746
2704,2095,2849,2233
4464,3202,4677,3474
2867,2305,2966,2605
2819,3368,3010,3626
3508,2784,3688,2999
2676,1635,2875,1889
2042,2484,2284,2628
867,2114,1093,2191
3088,832,3239,1009
2704,2095,2849,2233
3352,3399,3442,3735
3868,780,3957,984
5581,1566,5834,1660
3297,562,3438,868
5577,2699,5850,2856
4161,601,4253,962
3909,2735,4002,3007
7094,2114,7245,2383
5579,1207,5916,1293
3549,596,3648,864
1666,2189,1827,2502
5579,2923,5812,3107
1415,329,1604,551
2830,4603,3024,4845
4677,4034,4868,4291
2042,2484,2284,2628
867,2114,1093,2191
3088,832,3239,1009
2308,976,2364,1065
1665,3332,1827,3621
2892,646,3066,854
1465,3373,1553,3614
2045,2275,2221,2491
2045,2275,2228,2491
2600,3330,2752,3618
6725,3090,6871,3310
7723,3710,8030,3797
7727,2684,7948,2769
903,1829,994,2102
3131,672,3208,856
979,378,1074,644
6510,2878,6611,3300
1439,1062,1562,1253
1228,426,1376,513
1687,584,1749,673
1385,580,1513,664
959,1755,1017,1827
2727,1248,2778,1336
867,2377,985,2499
1381,962,1575,1047
866,1206,1057,1297
914,1206,1057,1289
750,1655,813,1734
1752,1068,2048,1147
2272,947,2461,1033
2272,947,2461,1033
810,1635,935,1755
1854,1756,2012,1845
816,2022,977,2150
645,1821,688,1928
2415,2168,2479,2262
865,911,1117,1003
841,546,1031,624
864,536,1030,624
1713,1509,1951,1602
3299,807,3347,902
3353,2056,3401,2162
1287,606,1401,644
2210,2054,2254,2139
2209,2055,2271,2139
2218,1908,2265,2040
1113,1486,1238,1537
928,397,1025,594
1370,1367,1497,1483
638,2176,738,2361
2270,1815,2443,1914
3365,510,3488,593
3362,488,3485,593
2639,1109,2832,1193
389,2219,469,2363
1252,1303,1335,1483
2210,1701,2272,1760
2571,1363,2637,1427
2571,986,2619,1066
2727,1742,2778,1838
2721,1743,2785,1838
1040,2374,1158,2416
942,609,1035,654
3314,495,3353,608
3362,385,3487,476
1284,1781,1420,1898
3363,804,3529,888
3414,2060,3634,2138
2268,1932,2447,2016
2271,1927,2447,2016
2267,2060,2484,2136
1305,451,1383,598
2271,1813,2442,1914
937,2382,1013,2428
2737,1838,2786,1962
1357,1014,1434,1072
1179,1681,1258,1899
2793,1837,2935,1946
865,915,1117,1003
968,2164,1128,2251
708,1095,921,1193
446,2048,622,2151
1645,1093,1859,1221
1231,1973,1401,2077
3144,881,3197,970
2571,1364,2636,1439
2581,1086,2630,1226
2580,1093,2627,1226
3154,1139,3205,1283
589,1552,642,1643
1162,1837,1216,1959
1995,1195,2057,1285
956,1842,1006,1927
2208,1789,2262,1908
859,1687,932,1751
859,1687,932,1751
2638,1126,2775,1222
2633,1226,2833,1327
2635,1226,2836,1327
3210,1166,3383,1263
2062,1196,2275,1283
1019,1839,1238,1929
1019,1839,1277,1928
2273,1806,2430,1914
391,987,662,1070
396,1081,440,1215
1113,1486,1267,1536
945,1068,1026,1224
1954,684,2171,785
447,1107,626,1193
3364,1858,3594,1940
2020,2048,2121,2154
2685,531,2854,614
1018,936,1234,1036
2208,1819,2254,1928
1475,1626,1543,1754
1102,1508,1183,1696
1028,1847,1105,1999
1018,929,1234,1026
2270,1407,2453,1525
2270,1416,2391,1525
709,1825,918,1931
2720,1818,2932,1914
2933,657,3043,812
1067,1728,1155,1807
1019,1600,1279,1692
945,1068,1026,1224
1156,1367,1229,1454
2685,531,2854,614
1018,936,1234,1036
2188,1663,2299,1847
2062,1259,2204,1355
1487,1961,1569,2014
2301,1235,2368,1379
1057,1713,1144,1949
1058,1710,1144,1949
1423,998,1582,1262
2795,1232,2956,1329
2269,806,2485,913
553,2032,779,2122
553,2032,808,2112
2898,1356,3097,1445
1282,1018,1502,1114
1749,2265,1976,2364
844,2131,927,2282
2464,2291,2536,2364
554,2149,782,2235
1020,2161,1232,2259
1492,884,1755,969
1538,884,1755,969
2787,1728,3017,1830
2791,1730,3020,1830
1906,519,2083,620
433,1601,494,1700
2097,1604,2156,1697
605,684,768,767
2166,1876,2346,1919
862,1738,991,1817
812,1000,1003,1097
