List A,List B,Merged
"[2929, 1727, 3056, 1801]","[714, 3826, 784, 4033]","[714, 1727, 3056, 4033]"
"[1970, 2461, 2028, 2654]","[5690, 2156, 5801, 2247]","[1970, 2156, 5801, 2654]"
"[4026, 3674, 4138, 3781]","[1281, 1999, 1385, 2186]","[1281, 1999, 4138, 3781]"
"[4027, 3083, 4106, 3211]","[1923, 2858, 2011, 2959]","[1923, 2858, 4106, 3211]"
"[5693, 2332, 5777, 2435]","[5693, 3398, 5778, 3511]","[5693, 2332, 5778, 3511]"
"[3277, 1318, 3392, 1509]","[1298, 1315, 1370, 1506]","[1298, 1315, 3392, 1509]"
"[4275, 1992, 4392, 2193]","[5710, 3153, 5790, 3364]","[4275, 1992, 5790, 3364]"
"[2297, 1324, 2370, 1501]","[4295, 1316, 4373, 1505]","[2297, 1316, 4373, 1505]"
"[1445, 1562, 1557, 1754]","[2953, 2765, 3050, 2860]","[1445, 1562, 3050, 2860]"
"[2863, 3512, 2964, 3609]","[2199, 2766, 2295, 2860]","[2199, 2766, 2964, 3609]"
"[1455, 1201, 1549, 1344]","[1448, 834, 1515, 973]","[1448, 834, 1549, 1344]"
"[2111, 3513, 2191, 3660]","[1468, 982, 1536, 1172]","[1468, 982, 2191, 3660]"
"[784, 2677, 886, 2777]","[3782, 3251, 3882, 3358]","[784, 2677, 3882, 3358]"
"[2132, 3661, 2201, 3857]","[2115, 4095, 2209, 4194]","[2115, 3661, 2209, 4194]"
"[5198, 3171, 5304, 3280]","[3798, 2248, 3870, 2438]","[3798, 2248, 5304, 3280]"
"[1449, 1410, 1518, 1546]","[2947, 2085, 3015, 2199]","[1449, 1410, 3015, 2199]"
"[3363, 1805, 3437, 1909]","[1453, 2096, 1519, 2232]","[1453, 1805, 3437, 2232]"
"[5196, 2877, 5304, 3036]","[5215, 2665, 5288, 2853]","[5196, 2665, 5304, 3036]"
"[3382, 1571, 3450, 1756]","[5201, 2498, 5272, 2624]","[3382, 1571, 5272, 2624]"
"[1453, 2671, 1550, 2763]","[3560, 3510, 3609, 3618]","[1453, 2671, 3609, 3618]"
"[1227, 3506, 1277, 3622]","[1450, 1812, 1520, 1913]","[1227, 1812, 1520, 3622]"
"[2970, 2510, 3031, 2720]","[3781, 2093, 3855, 2198]","[2970, 2093, 3855, 2720]"
"[1451, 2479, 1522, 2604]","[2952, 2374, 3048, 2473]","[1451, 2374, 3048, 2604]"
"[800, 3858, 1032, 3987]","[2042, 2490, 2284, 2628]","[800, 2490, 2284, 3987]"
"[5800, 2111, 5973, 2267]","[4136, 3655, 4310, 3802]","[4136, 2111, 5973, 3802]"
"[1385, 2031, 1514, 2158]","[4138, 3107, 4347, 3181]","[1385, 2031, 4347, 3181]"
"[2059, 2895, 2261, 2926]","[5796, 2347, 6078, 2427]","[2059, 2347, 6078, 2926]"
"[5798, 3416, 6072, 3486]","[3383, 1350, 3516, 1476]","[3383, 1350, 6072, 3486]"
"[1382, 1348, 1639, 1479]","[4391, 2028, 4607, 2154]","[1382, 1348, 4607, 2154]"
"[5799, 3192, 6028, 3324]","[2384, 1346, 2633, 1476]","[2384, 1346, 6028, 3324]"
"[4378, 1346, 4638, 1477]","[1553, 1601, 1719, 1727]","[1553, 1346, 4638, 1727]"
"[3045, 2735, 3251, 2890]","[2961, 3480, 3143, 3639]","[2961, 2735, 3251, 3639]"
"[2424, 2734, 2617, 2889]","[1545, 1193, 1828, 1342]","[1545, 1193, 2617, 2889]"
"[1547, 847, 1813, 921]","[2218, 3527, 2480, 3601]","[1547, 847, 2480, 3601]"
"[1554, 1011, 1724, 1144]","[888, 2655, 1057, 2811]","[888, 1011, 1724, 2811]"
"[3887, 3274, 4022, 3340]","[2212, 3695, 2436, 3823]","[2212, 3274, 4022, 3823]"
"[2214, 4083, 2447, 4207]","[1301, 3929, 1818, 4147]","[1301, 3929, 2447, 4207]"
"[2431, 2472, 2655, 2606]","[5299, 3184, 5436, 3263]","[2431, 2472, 5436, 3263]"
"[3883, 2281, 4113, 2410]","[1549, 1432, 1806, 1503]","[1549, 1432, 4113, 2410]"
"[3052, 2083, 3307, 2210]","[3460, 1820, 3696, 1893]","[3052, 1820, 3696, 2210]"
"[1550, 2118, 1808, 2180]","[5301, 2917, 5601, 2991]","[1550, 2118, 5601, 2991]"
"[5304, 2695, 5531, 2826]","[3462, 1600, 3696, 1731]","[3462, 1600, 5531, 2826]"
"[5300, 2524, 5555, 2601]","[1547, 2655, 1723, 2809]","[1547, 2524, 5555, 2809]"
"[3632, 3531, 3848, 3602]","[1302, 3527, 1510, 3603]","[1302, 3527, 3848, 3603]"
"[1550, 1821, 1778, 1891]","[881, 2114, 1093, 2181]","[881, 1821, 1778, 2181]"
"[3052, 2556, 3271, 2687]","[3882, 2113, 4118, 2180]","[3052, 2113, 4118, 2687]"
"[880, 2501, 1156, 2572]","[1550, 2498, 1799, 2574]","[880, 2498, 1799, 2574]"
"[2258, 2037, 2327, 2103]","[957, 2522, 1021, 2588]","[957, 2037, 2327, 2588]"
"[1635, 1274, 1696, 1334]","[2156, 1206, 2220, 1268]","[1635, 1206, 2220, 1334]"
"[540, 1031, 588, 1126]","[3597, 648, 3669, 709]","[540, 648, 3669, 1126]"
"[545, 1153, 602, 1213]","[968, 2252, 1011, 2378]","[545, 1153, 1011, 2378]"
"[1789, 2386, 1852, 2478]","[2621, 782, 2674, 859]","[1789, 782, 2674, 2478]"
"[2154, 783, 2203, 855]","[3223, 663, 3307, 708]","[2154, 663, 3307, 855]"
"[2632, 879, 2684, 1007]","[3047, 452, 3126, 502]","[2632, 452, 3126, 1007]"
"[1646, 1005, 1688, 1124]","[1487, 1966, 1564, 2014]","[1487, 1005, 1688, 2014]"
"[3325, 653, 3454, 700]","[2898, 445, 3024, 490]","[2898, 445, 3454, 700]"
"[3595, 1686, 3669, 1756]","[540, 774, 586, 861]","[540, 774, 3669, 1756]"
"[968, 1706, 1009, 1830]","[1117, 1213, 1177, 1276]","[968, 1213, 1177, 1830]"
"[551, 883, 595, 1004]","[958, 2395, 1005, 2475]","[551, 883, 1005, 2475]"
"[1637, 1145, 1678, 1223]","[926, 601, 954, 672]","[926, 601, 1678, 1223]"
"[2165, 1050, 2211, 1176]","[957, 1494, 1023, 1559]","[957, 1050, 2211, 1559]"
"[2311, 1847, 2361, 1924]","[958, 1611, 999, 1680]","[958, 1611, 2361, 1924]"
"[3472, 665, 3551, 711]","[2156, 967, 2218, 1026]","[2156, 665, 3551, 1026]"
"[2131, 874, 2200, 945]","[1115, 1105, 1157, 1184]","[1115, 874, 2200, 1184]"
"[1800, 2206, 1845, 2327]","[3141, 1517, 3196, 1598]","[1800, 1517, 3196, 2327]"
"[1123, 957, 1165, 1081]","[3301, 400, 3366, 458]","[1123, 400, 3366, 1081]"
"[1437, 599, 1494, 652]","[2210, 1701, 2271, 1760]","[1437, 599, 2271, 1760]"
"[1311, 1897, 1369, 1957]","[2571, 1364, 2636, 1427]","[1311, 1364, 2636, 1957]"
"[1356, 1014, 1418, 1072]","[2571, 986, 2618, 1066]","[1356, 986, 2618, 1072]"
"[2308, 431, 2372, 521]","[1042, 2375, 1158, 2416]","[1042, 431, 2372, 2416]"
"[752, 2383, 829, 2427]","[2727, 1742, 2778, 1836]","[752, 1742, 2778, 2427]"
"[1100, 2509, 1222, 2606]","[1697, 1263, 1825, 1352]","[1100, 1263, 1825, 2606]"
"[2217, 1191, 2337, 1286]","[603, 1017, 814, 1112]","[603, 1017, 2337, 1286]"
"[3592, 514, 3673, 650]","[604, 1142, 713, 1233]","[604, 514, 3673, 1233]"
"[1101, 2272, 1239, 2359]","[1854, 2372, 2181, 2504]","[1101, 2272, 2181, 2504]"
"[2689, 778, 2901, 863]","[2216, 779, 2379, 860]","[2216, 778, 2901, 863]"
"[3226, 428, 3310, 654]","[2692, 906, 2859, 982]","[2692, 428, 3310, 982]"
"[3045, 221, 3127, 443]","[1700, 1023, 1838, 1110]","[1700, 221, 3127, 1110]"
"[1308, 1943, 1468, 2018]","[3350, 446, 3432, 650]","[1308, 446, 3432, 2018]"
"[2921, 241, 3006, 439]","[3601, 1524, 3665, 1697]","[2921, 241, 3665, 1697]"
"[603, 779, 804, 860]","[1021, 1852, 1238, 1929]","[603, 779, 1238, 1929]"
"[1021, 1727, 1194, 1806]","[1175, 1216, 1283, 1309]","[1021, 1216, 1283, 1806]"
"[607, 901, 779, 983]","[1101, 2397, 1260, 2475]","[607, 901, 1260, 2475]"
"[1698, 1146, 1853, 1224]","[968, 593, 1174, 686]","[968, 593, 1853, 1224]"
"[2220, 1077, 2357, 1155]","[1024, 1484, 1159, 1562]","[1024, 1077, 2357, 1562]"
"[2376, 1847, 2561, 1927]","[1019, 1600, 1242, 1692]","[1019, 1600, 2561, 1927]"
"[3464, 441, 3565, 649]","[2219, 940, 2394, 1048]","[2219, 441, 3565, 1048]"
"[2221, 895, 2352, 916]","[1180, 1093, 1402, 1189]","[1180, 895, 2352, 1189]"
"[1852, 2227, 2001, 2308]","[3142, 1317, 3218, 1495]","[1852, 1317, 3218, 2308]"
"[1179, 976, 1323, 1060]","[3363, 385, 3487, 476]","[1179, 385, 3487, 1060]"
"[1414, 472, 1515, 596]","[2268, 1685, 2380, 1781]","[1414, 472, 2380, 1781]"
"[1292, 1785, 1392, 1895]","[2638, 1360, 2802, 1422]","[1292, 1360, 2802, 1895]"
"[1338, 887, 1436, 1013]","[2632, 990, 2853, 1068]","[1338, 887, 2853, 1068]"
"[2370, 400, 2701, 538]","[1059, 2184, 1141, 2366]","[1059, 400, 2701, 2366]"
"[754, 2146, 835, 2366]","[2787, 1728, 3017, 1830]","[754, 1728, 3017, 2366]"
"[2114, 3908, 2188, 4013]","[2914, 2232, 3013, 2346]","[2114, 2232, 3013, 4013]"
"[5199, 2236, 5270, 2336]","[800, 2246, 869, 2441]","[800, 2236, 5270, 2441]"
"[1221, 3656, 1288, 3855]","[1467, 2246, 1532, 2433]","[1221, 2246, 1532, 3855]"
"[3865, 3509, 3966, 3612]","[1447, 1566, 1555, 1749]","[1447, 1566, 3966, 3612]"
"[3108, 2248, 3218, 2433]","[2201, 2765, 2296, 2859]","[2201, 2248, 3218, 2859]"
"[1112, 3511, 1188, 3658]","[5195, 2666, 5307, 2845]","[1112, 2666, 5307, 3658]"
"[869, 2763, 964, 2858]","[1123, 4096, 1215, 4197]","[869, 2763, 1215, 4197]"
"[3782, 3251, 3882, 3358]","[1457, 1204, 1547, 1340]","[1457, 1204, 3882, 3358]"
"[3773, 2248, 3890, 2435]","[2615, 1222, 2715, 1322]","[2615, 1222, 3890, 2435]"
"[3114, 2679, 3214, 2776]","[3357, 1557, 3475, 1760]","[3114, 1557, 3475, 2776]"
"[1449, 945, 1512, 1083]","[2616, 1415, 2683, 1553]","[1449, 945, 2683, 1553]"
"[2030, 3948, 2129, 4093]","[869, 2085, 928, 2205]","[869, 2085, 2129, 4093]"
"[5194, 2872, 5299, 3035]","[1450, 1412, 1515, 1542]","[1450, 1412, 5299, 3035]"
"[1449, 2095, 1518, 2233]","[2192, 2437, 2314, 2634]","[1449, 2095, 2314, 2634]"
"[2063, 3506, 2110, 3618]","[3362, 1806, 3437, 1909]","[2063, 1806, 3437, 3618]"
"[1455, 2676, 1548, 2764]","[5201, 2498, 5271, 2620]","[1455, 2498, 5271, 2764]"
"[1449, 1811, 1517, 1907]","[2647, 1799, 2691, 1908]","[1449, 1799, 2691, 1908]"
"[3062, 3505, 3107, 3615]","[5200, 3174, 5302, 3277]","[3062, 3174, 5302, 3615]"
"[3142, 2094, 3189, 2198]","[3783, 2092, 3854, 2195]","[3142, 2092, 3854, 2198]"
"[1450, 2476, 1522, 2593]","[868, 2377, 961, 2479]","[868, 2377, 1522, 2593]"
"[2634, 1571, 2702, 1749]","[1118, 3900, 1189, 4009]","[1118, 1571, 2702, 4009]"
"[1114, 3670, 1224, 3854]","[834, 2228, 933, 2350]","[834, 2228, 1224, 3854]"
"[2218, 3921, 2492, 3984]","[3045, 2265, 3261, 2306]","[2218, 2265, 3261, 3984]"
